num_ponto,ponto,latitude,longitude,distancia_unicamp
1,Shopping Center Limeira - Atacadão C/B,-22.533111140137375,-47.38589692123141,5.065452552478881
2,Shopping Center Limeira - Atacadão B/C,-22.533111140137375,-47.38589692123141,5.065452552478881
3,"Avenida Ambrósio Fumagali, 1535",-22.5374279,-47.3839949,4.9416379817917075
4,"Avenida Ambrósio Fumagali, 1343",-22.5374279,-47.3839949,4.9416379817917075
5,"Avenida Laranjeiras, 2077",-22.5373644,-47.3825697,5.068660966685392
6,Via Francisco D'Andrea,-22.5522453,-47.3812451,4.543248005486881
7,"Avenida Doutor Hipólito Pinto Ribeiro, 100",-22.5576152,-47.3703737,5.554312947147592
8,"Avenida Doutor Hipólito Pinto Ribeiro, 334-364",-22.5576152,-47.3703737,5.554312947147592
9,"Avenida Doutor Hipólito Pinto Ribeiro, 774-776",-22.5576152,-47.3703737,5.554312947147592
10,"Rua General Rondon, 2575",-22.5576152,-47.3703737,5.554312947147592
11,"Rua General Rondon, 2483-2511",-22.5576152,-47.3703737,5.554312947147592
12,"Rua General Rondon, 2059-2077",-22.5576152,-47.3703737,5.554312947147592
13,"Rua Joaquim Bernardo, 379-455",-22.5637326,-47.377864,4.768070363796198
14,"Rua Moisés Caram, 2-64",-22.5642007,-47.376701,4.890014970824596
15,"Rua Moisés Paulino Da Cunha, 327-337",-22.565908759611087,-47.37614056950166,4.9609546971053495
16,"Rua Doutor Ademar Pereira De Barros, 1119",-22.5763309,-47.3720528,5.594744846673886
17,"Rua Doutor Ademar Pereira De Barros, 697-765  (Rapidão)",-22.57143879353656,-47.37424973972138,5.243141897644013
18,"Rua Marechal Deodoro Da Fonseca, 2-64",-22.5730472,-47.3739133,5.315587350518412
19,"Rua Doná Maria Angélica Vergueiro, 27-63",-22.5747621,-47.3749083,5.264328900422591
20,"Avenida Arlinda Abreu Ribeiro, 725",-22.5756283,-47.3750283,5.27928733722998
21,"Via Luís Varga, 6538-6760",-22.5562967,-47.3822,4.36192244050022
22,"Via Luís Varga, 6856-6918  (Rapidão)",-22.57822842542831,-47.37722799698128,5.156920736690148
23,"Rua Pedro Elías, 985",-22.5810766,-47.3854296,4.516647618967294
24,Rua Pedro Elías 765  (Rapidão),-22.57943279150629,-47.37989197064324,4.95210587158456
25,Rua Pedro Elías 559,-22.5810766,-47.3854296,4.516647618967294
26,"Rua Pedro Elías, 141-147  (Rapidão)",-22.578659503561827,-47.37647515730939,5.246197488785706
27,"Avenida Marechal Artur Da Costa E Silva, 942",-22.58582615352546,-47.37906785165745,5.343660558388166
28,"Rua Olívia P. B Pinho, 63-127",-22.589667233425953,-47.37225301058662,6.163177131841739
29,"Rua Mario Ferraz, 202-362",-22.5904454,-47.3770036,5.791633008096853
30,"Rua Mario Ferraz, 15",-22.5904454,-47.3770036,5.791633008096853
31,"Avenida Campinas, 1976-1998",-22.5714202,-47.3966768,3.0194210883612667
32,"Via Prefeito Jurandyr Paixão De Campos Freire, 742-778",-22.5975506,-47.381161,5.930643213814099
33,Rua José Noberto De Carvalho,-22.600163521346552,-47.384799211051934,5.862695705239491
34,Rua João Daniel Dos Santos,-22.60314454060133,-47.3850107672932,6.091210721252265
35,"Via Prefeito Jurandyr Paixão De Campos Freire, 825-997",-22.5975506,-47.381161,5.930643213814099
36,"Avenida Campinas, 1969-1997",-22.5714202,-47.3966768,3.0194210883612667
37,"Avenida Campinas, 1905-1939",-22.5854669,-47.3844803,4.846679457365376
38,"Avenida Campinas, 1733-1827",-22.5886209,-47.3832494,5.14644541908274
39,"Avenida Campinas, 1517",-22.5786206,-47.3898204,3.990343859704817
40,"Avenida Campinas, 1351",-22.5714202,-47.3966768,3.0194210883612667
41,"Avenida Campinas, 1101",-22.5886209,-47.3832494,5.14644541908274
42,"Avenida Campinas, 765-787",-22.5714202,-47.3966768,3.0194210883612667
43,"Avenida Campinas, 575",-22.5714202,-47.3966768,3.0194210883612667
44,"Avenida Campinas, 431-459",-22.5854669,-47.3844803,4.846679457365376
45,"Avenida Campinas, 141-239 (Rapidão)",-22.569984565938082,-47.397862966147216,2.851521099125212
46,Terminal Central De Limeira,-22.5670963,-47.3978312,2.7708203575057833
