bairro,latitude,longitude,distancia_unicamp
vila rocha,-22.577951583104493,-47.410891226604896,2.243705847856448
jardim aquarius,-22.550608190589706,-47.41667575205869,1.4679267685646296
parque centreville,-22.551580463658322,-47.42222150033637,1.158567114717891
parque sao bento,-22.552056052471702,-47.41803295839295,1.25861376352815
vila anita,-22.556810220964934,-47.410568487120784,1.5085591358896104
vila mathias,-22.560899389858037,-47.41035742731719,1.425912587396914
vila sao joao,-22.563403058144573,-47.41099287617916,1.366777555616648
vila santa rosalia,-22.576232119192287,-47.406309958879994,2.429567576693184
jardim nossa sra. de fatima,-22.56550370773466,-47.426499662401234,0.46649703834390305
jardim santa fe,-22.565597998868245,-47.422697294285875,0.43875025632200954
cidade universitaria,-22.553112082481263,-47.433785919560094,1.3854276880650613
jardim perola,-22.563011669111834,-47.438237176617655,1.4510892170920944
jardim esmeralda,-22.564260676816346,-47.435532311315484,1.1968143935916402
jardim morro azul,-22.5584169798876,-47.43045410500301,0.7507639025607419
jardim paulista,-22.558299143228314,-47.42619275210369,0.4476004851487637
jardim nova italia,-22.559177655613762,-47.42176126705203,0.38947806025456067
Boa Vista,-22.6062064,-47.5489254,13.734928441670778
Centro,-22.565492,-47.4037983,2.1340722502318887
Chácara Antonieta,-22.555338300000003,-47.43697531079545,1.5023394363777396
Chácara São José,-22.5811399,-47.3976727,3.4611245801505683
Doutor João Batista Levy,-22.5801506,-47.4043556,2.872140646673744
Jardim Brasil,-22.5631324,-47.4200484,0.4469616149649486
Jardim Cavinato,-22.5715923,-47.3916317,3.515993159772729
Jardim Ibirapuera,-22.5935275,-47.4092206,3.8270820017307337
Jardim Maria Flora,-22.5833573,-47.4001156,3.4322179651335873
Jardim Mediterrâneo,-22.5756418,-47.4127145,1.926652612166394
Jardim Mercedes,-22.5701692,-47.4034094,2.3250039106887206
Jardim Nereide,-22.5520357,-47.3854935,4.125867168065801
Jardim Nossa Senhora de Fátima,-22.5631324,-47.4200484,0.4469616149649486
Jardim Nossa Senhora do Amparo,-22.5686177,-47.4187495,0.9317681797442939
Jardim Nova Limeira,-22.5697001,-47.3865623,3.964622061278816
Jardim Nova Suíça,-22.5697001,-47.3865623,3.964622061278816
Jardim Orestes Veroni,-22.5660969,-47.3888908,3.6594068366712134
Jardim Ouro Verde,-22.5878737,-47.4216327,2.8900406265298906
Jardim Parque Avenida,-22.5935275,-47.4092206,3.8270820017307337
Jardim Residencial Antônio Simonetti,-22.5917801,-47.4353546,3.5044740704983885
Jardim Residencial Antônio Simonetti Ii,-22.5917801,-47.4353546,3.5044740704983885
Jardim Residencial Antônio Simonetti Iii,-22.5917801,-47.4353546,3.5044740704983885
Jardim Residencial Village,-22.5917801,-47.4353546,3.5044740704983885
Jardim Santa Cecília,-22.5715651,-47.4142541,1.480474453213573
Jardim Santa Eulalia,-22.5935275,-47.4092206,3.8270820017307337
Jardim São Manoel,-22.5795553,-47.406221,2.6909750372407855
Jardim São Paulo,-22.5878737,-47.4216327,2.8900406265298906
Parque das Nações,-22.5929089,-47.4045832,3.9832182609633344
Parque Nações,-22.5929089,-47.4045832,3.9832182609633344
Parque Pompeo,-22.5668154,-47.38616103288386,3.948239348526058
Parque Ragazzo,-22.5624682,-47.42455469660756,0.07533330248460428
Parque Real,-22.5672753,-47.4132936,1.2689894855894799
Rural,-22.5615068,-47.401766,2.3057511525414314
Santa Lúcia,-22.5811399,-47.3976727,3.4611245801505683
São Francisco,-22.5111943,-47.4153914,5.6855230468219915
Tatu,-22.6513071,-47.3529321,12.317758507406891
Vale das Oliveiras,-22.5308272,-47.3929438,4.706508754142353
Vila Cláudia,-22.5824871,-47.4017282,3.246187614844784
Vila Cristovam,-22.5745619,-47.4043406,2.4768533310046124
Vila Esteves,-22.5739428,-47.4087716,2.0724240931923386
Vila Santa Josefa,-22.5668295,-47.4173762,0.8887067201319007
Vila Santa Lina,-22.5751276,-47.4010973,2.7905403548389547
Vila Solar,-22.5823419,-47.3978518,3.530529259527672
